what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036912156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036912285
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036937014
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036937103
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036940216
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036940319
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036943322
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036943424
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036947016
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036947511
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265036952712
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036955974
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036957657
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265036958889
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1265036961486
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265036961643
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1265036966014
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1265036967236
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265036975542
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036977620
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1265036980500
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1265036980536
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1265036985035
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1265036986705
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1265037001337
