what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267113832319
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267113835502
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267113856399
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267113856636
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267113859695
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267113863631
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267113863686
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267113877854
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267113878141
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267113883329
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267113886995
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267114582446
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267114588426
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267114597848
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267114615275
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267114619860
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267114630025
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267114667661
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267114667925
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267114674172
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267114674540
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267114675925
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267114676977
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267114690195
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267114690549
